                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                  1.034,                0.55169,                 1.0513,                0.86376,                0.67779,                0.76761,                0.42106,                 1.5513,                0.86798,                 1.3526,             0.00076325,             0.00076325,             0.00076325
                     62,                  1.014,                0.54777,                 1.0467,                0.86916,                0.65257,                0.75355,                0.41558,                 1.5629,                0.87953,                 1.3725,               0.000755,               0.000755,               0.000755
                     63,                  1.018,                0.54384,                 1.0476,                 0.8619,                0.68882,                0.77885,                 0.4221,                 1.5813,                0.84323,                 1.3676,             0.00074675,             0.00074675,             0.00074675
                     64,                0.99847,                0.52933,                 1.0383,                0.86106,                0.68299,                 0.7668,                0.42248,                 1.5602,                0.88281,                 1.3754,              0.0007385,              0.0007385,              0.0007385
                     65,                 1.0104,                0.54226,                 1.0385,                0.87138,                0.68384,                0.77837,                0.42788,                 1.5599,                0.85862,                 1.3667,             0.00073025,             0.00073025,             0.00073025
                     66,                0.97884,                0.52328,                 1.0303,                0.86963,                0.69983,                0.78014,                0.42729,                 1.5587,                0.81914,                 1.3641,               0.000722,               0.000722,               0.000722
                     67,                0.96497,                0.51915,                 1.0195,                0.88846,                0.67765,                0.78038,                0.42645,                 1.5674,                0.82788,                  1.384,             0.00071375,             0.00071375,             0.00071375
                     68,                0.97998,                0.52595,                 1.0343,                0.86174,                0.68736,                0.77073,                0.43021,                 1.5577,                   0.84,                 1.3563,              0.0007055,              0.0007055,              0.0007055
                     69,                0.97108,                 0.5222,                 1.0279,                0.85637,                0.68365,                0.76664,                  0.422,                 1.5472,                0.87993,                 1.3648,             0.00069725,             0.00069725,             0.00069725
                     70,                 0.9602,                0.51504,                 1.0209,                0.85743,                0.68819,                0.77467,                0.42752,                 1.5665,                0.86558,                 1.3671,               0.000689,               0.000689,               0.000689
                     71,                0.98199,                0.51669,                 1.0344,                0.83821,                 0.6953,                0.77813,                0.43428,                 1.5441,                 0.8643,                 1.3489,             0.00068075,             0.00068075,             0.00068075
                     72,                 0.9575,                0.51118,                 1.0186,                0.84183,                0.67959,                 0.7585,                0.41192,                 1.5869,                0.89294,                  1.383,              0.0006725,              0.0006725,              0.0006725
                     73,                0.94626,                0.50622,                 1.0283,                0.85181,                0.71304,                 0.7836,                0.43813,                 1.5474,                0.83697,                 1.3715,             0.00066425,             0.00066425,             0.00066425
                     74,                0.94181,                0.50843,                 1.0214,                0.89381,                0.66334,                 0.7618,                0.42248,                 1.5677,                0.88111,                 1.3923,               0.000656,               0.000656,               0.000656
                     75,                0.93745,                0.50113,                 1.0083,                0.87129,                0.70584,                 0.7825,                0.42967,                 1.5538,                0.82306,                 1.3811,             0.00064775,             0.00064775,             0.00064775
                     76,                0.91879,                0.49456,                 1.0075,                0.88115,                0.67759,                0.76398,                0.42138,                 1.5506,                0.82197,                 1.3749,              0.0006395,              0.0006395,              0.0006395
                     77,                0.91397,                0.48832,                0.99738,                0.87666,                0.68349,                0.77407,                0.42688,                 1.5549,                  0.843,                 1.3789,             0.00063125,             0.00063125,             0.00063125
                     78,                0.92467,                 0.4982,                 1.0033,                0.87116,                0.68538,                0.78568,                0.44119,                 1.5298,                0.82356,                 1.3765,               0.000623,               0.000623,               0.000623
                     79,                0.90898,                 0.4917,                  1.007,                 0.8621,                0.67798,                0.76838,                0.42952,                 1.5515,                0.85461,                 1.3803,             0.00061475,             0.00061475,             0.00061475
                     80,                0.89469,                 0.4792,                0.99638,                0.87192,                0.68246,                 0.7678,                0.42763,                 1.5429,                0.84582,                 1.3788,              0.0006065,              0.0006065,              0.0006065
                     81,                0.90909,                0.48787,                0.99935,                0.86678,                0.67397,                0.76058,                0.42431,                 1.5635,                0.87703,                 1.4074,             0.00059825,             0.00059825,             0.00059825
                     82,                0.88924,                0.48112,                 1.0003,                0.86637,                0.69871,                0.78257,                 0.4325,                  1.555,                0.81947,                 1.3946,                0.00059,                0.00059,                0.00059
                     83,                  0.889,                0.48305,                 0.9965,                0.87476,                0.67128,                0.76165,                0.42557,                 1.5444,                0.88274,                 1.3901,             0.00058175,             0.00058175,             0.00058175
                     84,                0.88698,                0.47605,                0.98829,                0.87116,                0.68955,                0.77157,                0.43238,                 1.5461,                0.89159,                 1.3836,              0.0005735,              0.0005735,              0.0005735
                     85,                0.87434,                 0.4704,                0.99077,                0.86189,                 0.6855,                0.77877,                0.43537,                 1.5361,                 0.8357,                 1.4022,             0.00056525,             0.00056525,             0.00056525
                     86,                 0.8779,                0.47025,                0.99554,                0.87174,                0.67984,                0.76683,                0.42968,                 1.5355,                0.88517,                 1.4003,               0.000557,               0.000557,               0.000557
                     87,                0.88806,                0.47815,                0.99379,                0.88962,                 0.6791,                0.77319,                0.43825,                 1.5253,                  0.849,                 1.3737,             0.00054875,             0.00054875,             0.00054875
                     88,                0.86502,                0.46137,                0.98527,                0.87685,                0.69343,                0.78287,                  0.436,                 1.5372,                0.83966,                 1.3757,              0.0005405,              0.0005405,              0.0005405
                     89,                0.86823,                0.46366,                0.98123,                0.91163,                0.65875,                0.77208,                0.43313,                 1.5354,                0.89762,                 1.3676,             0.00053225,             0.00053225,             0.00053225
                     90,                0.85249,                0.45884,                0.97747,                0.88129,                0.69175,                0.77686,                0.43637,                 1.5293,                0.82859,                 1.3823,               0.000524,               0.000524,               0.000524
                     91,                 0.8607,                0.46231,                0.97911,                0.85556,                0.71128,                0.78236,                0.44027,                 1.5348,                0.85441,                  1.382,             0.00051575,             0.00051575,             0.00051575
                     92,                0.84159,                0.45914,                0.97623,                0.89191,                0.68255,                0.77414,                0.43538,                 1.5276,                0.86533,                 1.3891,              0.0005075,              0.0005075,              0.0005075
                     93,                0.83904,                0.45053,                0.97283,                0.85631,                0.69877,                 0.7794,                 0.4388,                 1.5354,                0.84906,                 1.3901,             0.00049925,             0.00049925,             0.00049925
                     94,                0.82293,                 0.4448,                0.97253,                0.89952,                0.67974,                0.77888,                0.43218,                 1.5381,                0.82663,                 1.3924,               0.000491,               0.000491,               0.000491
                     95,                0.82808,                0.44669,                0.97509,                 0.8846,                 0.6905,                0.77818,                0.43573,                 1.5389,                0.84139,                 1.3928,             0.00048275,             0.00048275,             0.00048275
                     96,                0.82731,                0.44531,                0.96448,                 0.8621,                0.68212,                0.77488,                0.43223,                 1.5384,                 0.8667,                  1.398,              0.0004745,              0.0004745,              0.0004745
                     97,                0.82814,                  0.448,                0.97057,                0.89614,                0.68771,                 0.7824,                0.43856,                 1.5409,                0.85743,                 1.3909,             0.00046625,             0.00046625,             0.00046625
                     98,                0.81338,                0.43938,                0.96606,                0.86973,                0.68662,                0.77882,                0.43845,                 1.5424,                0.83729,                 1.3957,               0.000458,               0.000458,               0.000458
                     99,                0.81707,                0.43721,                  0.964,                0.89544,                0.67115,                0.77223,                0.43255,                 1.5406,                0.83105,                 1.3915,             0.00044975,             0.00044975,             0.00044975
                    100,                0.82053,                0.43902,                  0.965,                 0.8971,                0.66234,                0.77203,                0.43644,                 1.5395,                0.84931,                 1.3977,              0.0004415,              0.0004415,              0.0004415
                    101,                0.80635,                0.43825,                0.96605,                0.89579,                0.68168,                 0.7764,                0.43975,                 1.5418,                0.82919,                 1.4028,             0.00043325,             0.00043325,             0.00043325
                    102,                0.79964,                0.43108,                0.96128,                 0.8925,                0.68159,                0.78112,                0.44611,                 1.5479,                 0.8234,                 1.4029,               0.000425,               0.000425,               0.000425
                    103,                 0.7977,                0.43306,                0.96189,                0.89171,                0.67665,                0.77865,                0.43676,                 1.5438,                0.84943,                 1.4007,             0.00041675,             0.00041675,             0.00041675
                    104,                0.77687,                0.42326,                0.95618,                  0.879,                0.69851,                0.78821,                0.44653,                 1.5429,                 0.8175,                 1.4074,              0.0004085,              0.0004085,              0.0004085
                    105,                0.79541,                 0.4318,                0.95489,                0.89486,                0.68948,                0.78558,                0.44167,                 1.5482,                0.80582,                 1.4072,             0.00040025,             0.00040025,             0.00040025
                    106,                0.77641,                0.41792,                0.95359,                0.89561,                0.67823,                0.77999,                0.43651,                 1.5486,                0.84254,                 1.4133,               0.000392,               0.000392,               0.000392
                    107,                0.78552,                0.42503,                0.95397,                0.88512,                0.69198,                0.77962,                0.43636,                 1.5492,                0.85347,                 1.4061,             0.00038375,             0.00038375,             0.00038375
                    108,                0.76914,                0.41816,                0.94502,                0.90757,                 0.6762,                0.78469,                0.44528,                 1.5361,                0.85281,                 1.3969,              0.0003755,              0.0003755,              0.0003755
                    109,                0.77068,                0.41671,                0.94943,                0.91046,                0.67152,                0.77755,                0.43499,                 1.5533,                0.85681,                 1.4187,             0.00036725,             0.00036725,             0.00036725
                    110,                 0.7635,                0.42014,                0.94896,                0.90602,                0.66188,                0.77679,                0.44001,                 1.5249,                0.85808,                 1.3982,               0.000359,               0.000359,               0.000359
                    111,                 0.7599,                0.41529,                0.94765,                0.88963,                0.68556,                0.78322,                0.44698,                   1.54,                0.85157,                 1.4163,             0.00035075,             0.00035075,             0.00035075
                    112,                0.75604,                0.41104,                0.94534,                0.86445,                 0.6788,                 0.7682,                0.43042,                  1.547,                 0.8624,                  1.411,              0.0003425,              0.0003425,              0.0003425
                    113,                  0.753,                0.41635,                0.94391,                0.88509,                0.67465,                0.77777,                0.44044,                 1.5472,                0.86788,                 1.4086,             0.00033425,             0.00033425,             0.00033425
                    114,                0.74494,                0.40549,                 0.9361,                0.89471,                0.67625,                0.77778,                0.44058,                 1.5326,                0.86025,                 1.4093,               0.000326,               0.000326,               0.000326
                    115,                0.74176,                0.39815,                0.93481,                0.88486,                0.68306,                 0.7785,                0.43842,                 1.5534,                0.85712,                 1.4154,             0.00031775,             0.00031775,             0.00031775
                    116,                 0.7332,                0.40201,                0.93307,                0.89489,                 0.6791,                0.78119,                0.44082,                 1.5332,                0.86376,                 1.4085,              0.0003095,              0.0003095,              0.0003095
                    117,                0.73314,                0.40522,                0.93444,                0.88783,                 0.6873,                0.77938,                0.44205,                 1.5308,                0.85859,                 1.4056,             0.00030125,             0.00030125,             0.00030125
                    118,                0.73451,                0.39971,                0.93645,                0.89289,                0.68015,                0.78113,                0.44258,                 1.5315,                0.86629,                  1.416,               0.000293,               0.000293,               0.000293
                    119,                0.72466,                0.39888,                0.93806,                0.91251,                0.67088,                  0.787,                0.44711,                 1.5275,                0.85174,                 1.4086,             0.00028475,             0.00028475,             0.00028475
                    120,                 0.7212,                0.39506,                0.92967,                0.87357,                0.69943,                0.77801,                0.43912,                 1.5428,                0.87047,                 1.4148,              0.0002765,              0.0002765,              0.0002765
